No,Lokasi,Kecamatan,Tipe Hunian,Kondisi,Luas Tanah,Luas Bangunan,Kepemilikan,Lebar Jalan,Jumlah Lantai,Jumlah KT,Jumlah KM,Garasi,Daya Listrik,Rooftop,Sumber Air,Tipe Furnish,Harga
156,KABUPATEN BOGOR,CILEBUT,LANDED HOUSE,BEKAS,105,37,SHM,6,1,2,1,ADA,1300,TIDAK,PDAM,NON FURNISHED,800000000
157,KOTA DEPOK,SAWANGAN,LANDED HOUSE,BARU,60,100,SHM,6,2,3,2,ADA,2200,TIDAK,SUMUR BOR,NON FURNISHED,650000000
158,KOTA SURABAYA,LAKARSANTRI,LANDED HOUSE,BARU,85,100,SHM,3,2,3,2,ADA,2200,TIDAK,PDAM,NON FURNISHED,800000000
159,KOTA BANDUNG,DAGO,LANDED HOUSE,BARU,120,98,SHM,4,3,2,2,ADA,2200,ADA,PDAM,SEMI FURNISHED,1870000000
160,KABUPATEN KARANGANYAR,COLOMADU,LANDED HOUSE,BARU,125,180,SHM,5,2,3,3,ADA,2200,ADA,PAM / PDAM,NON FURNISHED,2030000000
161,KOTA SOLO,GILINGAN,LANDED HOUSE,BEKAS,138,170,SHM,5,"1,5",2,2,TIDAK,2200,TIDAK,SUMUR POMPA,NON FURNISHED,980000000
162,KABUPATEN TANGERANG,BOJONG NANGKA,LANDED HOUSE,BEKAS,174,165,SHM,3,1,4,2,TIDAK,1300,TIDAK,PDAM,NON FURNISHED,860000000
163,KABUPATEN TANGERANG,CURUG,LANDED HOUSE,BEKAS,72,60,SHM,5,1,2,3,ADA,1300,TIDAK,SUMUR POMPA,NON FURNISHED,490000000
164,YOGYAKARTA,BANTUL,LANDED HOUSE,BEKAS,150,123,SHM,5,2,3,2,ADA,2200,TIDAK,SUMUR RESAPAN,SEMI FURNISHED,1350000000
165,JAKARTA SELATAN,TEBET,LANDED HOUSE,BARU,132,305,SHM,4,3,4,3,ADA,6600,ADA,PAM / PDAM,NON FURNISHED,5400000000
166,JAKARTA TIMUR,CIPAYUNG,LANDED HOUSE,BARU,88,165,SHM,4,2,4,4,ADA,2200,ADA,SUMUR BOR,NON FURNISHED,2070000000
167,JAKARTA SELATAN,TEBET,LANDED HOUSE,BARU,90,210,SHM,3,3,4,4,ADA,2200,ADA,PAM / PDAM,NON FURNISHED,3500000000
168,KOTA DEPOK,PANCORAN MAS,LANDED HOUSE,BARU,76,120,SHM,5,2,3,3,ADA,2200,ADA,SUMUR BOR,FURNISHED,960000000
169,KABUPATEN SEMARANG,UNGARAN TIMUR,LANDED HOUSE,BEKAS,96,276,SHM,5,4,3,3,ADA,1300,ADA,PAM / PDAM,FURNISHED,1500000000
170,KOTA BEKASI,JATI ASIH,LANDED HOUSE,BARU,88,160,SHM,5,3,4,2,ADA,2200,ADA,PAM / PDAM,FURNISHED,1850000000
171,KOTA BANDUNG,DAGO,LANDED HOUSE,BARU,100,130,SHM,5,3,5,2,ADA,2200,ADA,SUMUR BOR,SEMI FURNISHED,2250000000
172,KOTA SURAKARTA,BANJARSARI,LANDED HOUSE,BARU,142,250,SHM,5,2,4,4,ADA,1300,ADA,SUMUR POMPA,NON FURNISHED,2700000000
173,KOTA BANDUNG,SETIABUDI,LANDED HOUSE,BEKAS,300,360,SHM,4,4,4,4,ADA,5500,TIDAK,JET PUMP,FURNISHED,4200000000
174,KOTA BANDUNG,CIUMBULEUIT,LANDED HOUSE,BEKAS,500,600,SHM,4,2,3,3,ADA,6000,TIDAK,PDAM,NON FURNISHED,5000000000
175,JAKARTA SELATAN,CILANDAK,LANDED HOUSE,BARU,90,245,SHM,5,3,3,3,ADA,3300,ADA,SUMUR BOR,NON FURNISHED,3300000000
176,KOTA BANDUNG,CIGADUNG,LANDED HOUSE,BARU,109,218,SHM,5,2,3,2,ADA,7700,ADA,SUMUR BOR,SEMI FURNISHED,2500000000
177,KOTA SURABAYA,MULYOREJO,LANDED HOUSE,BEKAS,156,256,SHM,5,2,4,3,ADA,5500,ADA,PAM / PDAM,SEMI FURNISHED,3050000000
178,DENPASAR,DENPASAR UTARA,LANDED HOUSE,BARU,250,161,SHM,5,2,3,2,ADA,2200,ADA,SUMUR BOR,SEMI FURNISHED,3200000000
179,BOGOR,SENTUL CITY,LANDED HOUSE,BEKAS,312,300,SHM,4,2,4,4,ADA,3500,TIDAK,PAM / PDAM,FURNISHED,5200000000
180,BOGOR,TANAH SAREAL,LANDED HOUSE,BARU,129,164,SHM,3,2,4,2,ADA,3500,TIDAK,PAM / PDAM,NON FURNISHED,1400000000
181,KOTA BANDUNG,CIBIRU,LANDED HOUSE,BEKAS,280,150,SHM,5.0,1,5,3,TIDAK,2200,TIDAK,PDAM,NON FURNISHED,625000000
182,KOTA BANDUNG,MARGAASIH,LANDED HOUSE,BEKAS,185,144,SHM,9.0,2,5,4,TIDAK,3500,ADA,SUMUR,NON FURNISHED,1900000000
183,KOTA BANDUNG,SUMUR BANDUNG,LANDED HOUSE,BEKAS,638,587,SHM,12.0,1,6,5,ADA,3500,TIDAK,PDAM,NON FURNISHED,16000000000
184,KOTA BANDUNG,BANDUNG WETAN,LANDED HOUSE,BEKAS,670,450,SHM,11.0,1,3,2,ADA,3500,TIDAK,SUMUR,NON FURNISHED,23500000000
185,KOTA BANDUNG,CILEUNYI,LANDED HOUSE,BARU,45,30,SHGB,5.0,1,2,1,TIDAK,900,TIDAK,PDAM,NON FURNISHED,195000000
186,KOTA BANDUNG,CIBEUNYING KIDUL,LANDED HOUSE,BEKAS,91,65,SHM,6.0,2,3,2,ADA,1300,ADA,PDAM,NON FURNISHED,875000000
187,KOTA BANDUNG,CILEUNYI,LANDED HOUSE,BEKAS,72,50,SHM,7.0,1,2,1,TIDAK,1300,TIDAK,PDAM,NON FURNISHED,316000000
188,KOTA BANDUNG,CIGADUNG,LANDED HOUSE,BARU,210,123,SHM,7.0,2,5,4,ADA,2200,ADA,SUMUR,FURNISHED,2350000000
189,KABUPATEN BANDUNG,CIMAHI,LANDED HOUSE,BEKAS,131,80,SHM,5.0,1,3,2,ADA,2200,TIDAK,PDAM,FURNISHED,1725000000
190,KOTA BANDUNG,CIBEUNYING KIDUL,LANDED HOUSE,BEKAS,180,146,SHM,5.0,2,3,3,TIDAK,2200,ADA,PDAM,NON FURNISHED,2350000000
191,BANYUMAS,BATURRADEN,LANDED HOUSE,BEKAS,140,140,SHM,8.0,2,4,2,TIDAK,2200,TIDAK,SUMUR,SEBAGIAN,1400000000
192,BANYUMAS,PURWOKERTO UTARA,LANDED HOUSE,BEKAS,180,106,SHM,10.0,2,4,2,TIDAK,2200,TIDAK,PDAM,SEBAGIAN,1250000000
193,BANYUMAS,PURWOKERTO SELATAN,LANDED HOUSE,BEKAS,147,160,SHM,6.0,2,4,3,ADA,1300,TIDAK,PDAM,NON FURNISHED,950000000
194,BANYUMAS,PURWOKERTO BARAT,LANDED HOUSE,BEKAS,120,82,SHM,6.0,1,3,2,TIDAK,1300,TIDAK,PDAM,FURNISHED,580000000
195,BANYUMAS,PURWOKERTO SELATAN,LANDED HOUSE,BARU,107,120,SHM,6.0,2,3,2,TIDAK,1300,TIDAK,PDAM,NON FURNISHED,575000000
196,YOGYAKARTA,UMBULHARJO,LANDED HOUSE,BARU,125,200,SHM,3.0,2,4,3,ADA,2200,TIDAK,SUMUR & PDAM,NON FURNISHED,1850000000
197,YOGYAKARTA,UMBULHARJO,LANDED HOUSE,BEKAS,108,90,SHM,3.0,1,3,1,TIDAK,1300,TIDAK,SUMUR,NON FURNISHED,790000000
198,YOGYAKARTA,WIROBRAJAN,LANDED HOUSE,BEKAS,160,90,SHM,4.5,1,2,3,TIDAK,3500,TIDAK,SUMUR & PDAM,SEBAGIAN,1400000000
199,YOGYAKARTA,KOTAGEDE,LANDED HOUSE,BEKAS,128,120,SHM,4.0,1,3,2,ADA,900,TIDAK,SUMUR,NON FURNISHED,1400000000
200,YOGYAKARTA,WIROBRAJAN,LANDED HOUSE,BEKAS,240,248,SHM,5.5,2,6,2,TIDAK,1300,TIDAK,SUMUR & PDAM,NON FURNISHED,2000000000
201,DENPASAR,SIDAKARYA,LANDED HOUSE,BARU,146,60,SHM,5.0,2,4,2,ADA,4400,TIDAK,PAM,NON FURNISHED,1300000000
202,DENPASAR ,DENPASAR TIMUR,LANDED HOUSE,BARU,110,105,SHM,4.0,2,4,3,ADA,2200,TIDAK,PDAM,FURNISHED,1600000000
203,DENPASAR,DENPASAR SELATAN,LANDED HOUSE,BARU,60,60,SHM,4.0,2,3,2,ADA,1300,TIDAK,SUMUR,NON FURNISHED,899000000
204,BEKASI,PRIMA HARAPAN,LANDED HOUSE,BARU,72,65,SHM,10.0,2,2,2,ADA,2200,ADA,PDAM,FURNISHED,1100000000
205,KOTA BANDUNG,CIBEUNYING KALER,LANDED HOUSE,BARU,280,350,SHM,8.0,2,10,6,ADA,3500,TIDAK,SUMUR,NON FURNISHED,4400000000
206,KOTA BEKASI,JATIASIH,LANDED HOUSE,BARU,90,158,SHM,6.0,2.5,5,3,ADA,1300,TIDAK,PAM,NON FURNISHED,1100000000
207,JAKARTA TIMUR,PONDOK KELAPA,LANDED HOUSE,BARU,298,294,SHM,4.0,2,6,2,ADA,3300,TIDAK,PAM,FURNISHED,3900000000
208,JAKARTA SELATAN,PEJATEN,LANDED HOUSE,BARU,220,364,SHM,6.0,2,5,3,ADA,4400,TIDAK,PAM,NON FURNISHED,4500000000
209,JAKARTA TIMUR,KAYU PUTIH,LANDED HOUSE,BARU,220,520,SHM,7.0,3,4,5,ADA,7700,ADA,PAM,SEMI FURNISHED,6000000000
210,JAKARTA PUSAT,MENTENG,LANDED HOUSE,BARU,925,1585,SHM,12.0,2,16,11,ADA,50000,TIDAK,PDAM,NON FURNISHED,70000000000
211,TANGGERANG,CIPONDOH,LANDED HOUSE,BARU,84,150,SHM,4,2,4,3,ADA,1300,TIDAK,PDAM,SEMI FURNISHED,1550000000
212,JAKARTA UTARA,PENJARINGAN,LANDED HOUSE,BEKAS,360,510,SHM,5,3,4,5,ADA,11000,ADA,SUMUR BOR,SEMI FURNISHED,15000000000
213,JAKARTA BARAT,CENGKARENG,LANDED HOUSE,BARU,180,250,SHM,5,2,4,3,ADA,4400,TIDAK,PDAM,SEMI FURNISHED,5000000000
214,SUKOHARJO,KARTASURA,LANDED HOUSE,BARU,88,59,SHM,8,1,2,1,ADA,1300,TIDAK,PDAM,NON FURNISHED,300000000
215,SUKOHARJO,KARTASURA,LANDED HOUSE,BEKAS,72,72,SHM,7,1,2,1,ADA,1200,TIDAK,PDAM,FULL FURNISHED,365000000
216,KARANGANYAR,GONDANGREJO,LANDED HOUSE,BEKAS,66,33,SHM,6,1,2,1,ADA,900,TIDAK,SUMUR BOR,NON FURNISHED,285000000
217,SUKOHARJO,BENDOSARI,LANDED HOUSE,BEKAS,105,70,SHM,7,1,2,1,ADA,900,TIDAK,SUMUR BOR,NON FURNISHED,490000000
218,KARANGANYAR,JATEN,LANDED HOUSE,BARU,61,40,SHM,6,1,3,1,ADA,900,TIDAK,SUMUR BOR,NON FURNISHED,255000000
219,SURAKARTA,LAWEYAN,LANDED HOUSE,BARU,298,300,SHM,9,1,4,3,ADA,3500,TIDAK,SUMUR BOR,NON FURNISHED,3750000000
220,SURAKARTA,JEBRES,LANDED HOUSE,BEKAS,190,250,SHM,15,2,5,4,ADA,2200,TIDAK,SUMUR BOR,NON FURNISHED,1000000000
221,JAKARTA SELATAN,MAMPANG PRAPATAN,LANDED HOUSE,BARU,72,194,SHM,5,3,3,3,ADA,5500,TIDAK,PDAM,NON FURNISHED,3450000000
222,JAKARTA SELATAN,KEBAYORAN LAMA,LANDED HOUSE,BARU,187,280,SHM,5,2,3,3,ADA,7700,TIDAK,PDAM,NON FURNISHED,7000000000
223,BANDUNG BARAT,PARONGPONG,LANDED HOUSE,BARU,60,60,SHM,4,2,3,2,TIDAK,2200,TIDAK,PDAM,NON FURNISHED,750000000
224,SUMEDANG,JATINANGOR,LANDED HOUSE,BARU,119,90,SHM,4,2,2,2,ADA,2200,TIDAK,SUMUR BOR,NON FURNISHED,881000000
225,BEKASI,BEKASI UTARA,LANDED HOUSE,BARU,180,180,SHM,5,2,3,5,ADA,1300,TIDAK,PDAM,NON FURNISHED,1300000000
226,BANDUNG,BUAH BATU,LANDED HOUSE,BEKAS,145,70,HGB,6,1,2,1,TIDAK,2200,TIDAK,SUMUR BOR,NON FURNISHED,950000000
227,BANDUNG,BUAH BATU,LANDED HOUSE,BARU,93,73,SHM,6,1,4,3,ADA,2200,TIDAK,SUMUR BOR,SEMI FURNISHED,1090000000
228,TANGGERANG,PAGEDANGAN,LANDED HOUSE,BARU,255,144,SHM,8,2,6,5,ADA,4400,TIDAK,PDAM,SEMI FURNISHED,6300000000
229,SUKOHARJO,BAKI,LANDED HOUSE,BARU,60,36,HGB,6,1,2,1,ADA,1300,TIDAK,SUMUR BOR,NON FURNISHED,275000000
230,SUKOHARJO,KARTASURA,LANDED HOUSE,BARU,85,125,SHM,7,1,3,2,ADA,1300,TIDAK,SUMUR BOR,NON FURNISHED,799000000
231,BANDUNG,BUAH BATU,LANDED HOUSE,BARU,140,147,SHM,6,2,4,3,ADA,4400,TIDAK,PDAM,NON FURNISHED,4250000000
232,BANDUNG BARAT,PARONGPONG,LANDED HOUSE,BARU,139,180,SHM,6,2,5,4,ADA,5500,TIDAK,SUMUR BOR,NON FURNISHED,3500000000
233,BANDUNG,GEDE BAGE,LANDED HOUSE,BARU,216,167,SHM,5,2,3,2,ADA,4400,ADA,SUMUR BOR,NON FURNISHED,4000000000
234,BANDUNG,DAGO,LANDED HOUSE,BEKAS,300,135,SHM,6,1,4,3,ADA,1300,TIDAK,PDAM,NON FURNISHED,3650000000
235,JAKARTA UTARA,KELAPA GADING,LANDED HOUSE,BARU,102,216,SHM,6,3,4,3,ADA,3300,TIDAK,SUMUR BOR,NON FURNISHED,4250000000
236,JAKARTA SELATAN,KEBAYORAN LAMA,APARTEMENTT,BARU,200,90,SHM,10,1,3,2,ADA,2500,TIDAK,PDAM,FULL FURNISHED,2000000000
237,BEKASI,BEKASI UTARA,LANDED HOUSE,BEKAS,200,250,SHM,10,2,4,3,ADA,3500,TIDAK,PDAM,SEMI FURNISHED,2800000000
238,TANGGERANG SELATAN,SERPONG,LANDED HOUSE,BARU,120,180,SHM,6,2,3,2,ADA,2200,ADA,PDAM,NON FURNISHED,1500000000
239,JAKARTA SELATAN,KEBAYORAN LAMA,APARTEMENTT,BARU,170,110,SHM,10,2,2,1,ADA,4500,TIDAK,PDAM,FULL FURNISHED,5800000000
240,JAKARTA SELATAN,SETIABUDI,APARTEMENTT,BARU,200,328,SHM,12,2,3,3,ADA,5600,TIDAK,PDAM,SEMI FURNISHED,17000000000
241,KOTA TANGERANG,TANGERANG,APARTEMENTT,BEKAS,"29,35","29,35",HGB,-,1,1,1,ADA,1300,ADA,SUMUR BOR,FURNISHED,2576399
242,KOTA TANGERANG,TANGERANG,APARTEMENTT,BEKAS,"40,60","40,60",HGB,-,1,2,1,ADA,2200,ADA,SUMUR BOR,FURNISHED,3431925
243,KOTA TANGERANG,TANGERANG,APARTEMENTT,BEKAS,"64,50","64,50",HGB,-,1,3,2,ADA,3500,ADA,SUMUR BOR,FURNISHED,3625775
244,KOTA BANDUNG,CIPADUNG,LANDED HOUSE,BEKAS,63,50,SHM,-,2,2,2,ADA,1300,TIDAK,SUMUR BOR,NON FURNISHED,497500000
245,KOTA BANDUNG,CILENGKRANG,LANDED HOUSE,BEKAS,72,50,SHM,-,2,2,2,ADA,1300,TIDAK,SUMUR BOR,NON FURNISHED,530000000
246,KOTA BANDUNG,CILEUNYI,LANDED HOUSE,BEKAS,60,30,SHM,-,1,1,1,ADA,900,TIDAK,PDAM,NON FURNISHED,249000000
247,KOTA BANDUNG,ANTAPANI,LANDED HOUSE,BEKAS,104,60,SHM,-,1,2,2,ADA,1300,TIDAK,PDAM,NON FURNISHED,800000000
248,KOTA BANDUNG,BUAH BATU,LANDED HOUSE,BARU,72,82,SHM,-,2,2,2,ADA,2200,TIDAK,PDAM,NON FURNISHED,1700000000
249,KOTA BANDUNG,SETIABUDI,LANDED HOUSE,BEKAS,400,192,SHM,-,1,5,4,ADA,4400,TIDAK,SUMUR BOR,NON FURNISHED,7400000000
250,KOTA BANDUNG,SETIABUDI,LANDED HOUSE,BEKAS,390,299,SHM,-,1,6,5,ADA,2200,TIDAK,SUMUR BOR,NON FURNISHED,7000000000
251,KOTA BOGOR,BOGOR BARAT,LANDED HOUSE,BARU,89,30,SHM,-,1,2,1,ADA,1300,TIDAK,SUMUR BOR,NON FURNISHED,212000000
252,KOTA DEPOK,TAPOS,LANDED HOUSE,BARU,60,72,SHM,-,2,3,2,ADA,2200,ADA,SUMUR BOR,NON FURNISHED,800000000
253,JAKARTA SELATAN,MAMPANG PRAPATAN,LANDED HOUSE,BARU,72,194,SHM,4,4,4,4,ADA,3500,ADA,SUMUR BOR,FURNISHED,3650000000
254,KOTA BANDUNG,BUAH BATU,LANDED HOUSE,BARU,102,110,SHM,6,2,3,3,ADA,2200,TIDAK,SUMUR BOR,NON FURNISHED,1450000000
255,KOTA BANDUNG,CIDADAP,LANDED HOUSE,BEKAS,500,400,SHM,4,3,5,4,ADA,4400,TIDAK,PDAM,SEMI FURNISHED,4950000000
256,KOTA DEPOK,CIMANGGIS,LANDED HOUSE,BARU,52,103,SHM,4,3,3,2,ADA,2200,TIDAK,SUMUR BOR,NON FURNISHED,1300000000
257,SURABAYA,WIYUNG,LANDED HOUSE,BARU,91,140,SHM,6,2,3,3,ADA,3500,TIDAK,PDAM,NON FURNISHED,2300000000
258,MALANG,LOWOKWARU,LANDED HOUSE,BARU,128,170,SHM,4,2,4,4,ADA,2200,TIDAK,PDAM,FURNISHED,2550000000
259,JAKARTA TIMUR,CAKUNG,LANDED HOUSE,BARU,102,76,PPJB,8,2,4,3,ADA,2200,TIDAK,PDAM,NON FURNISHED,1750000000
260,JAKARTA UTARA,PENJARINGAN,LANDED HOUSE,BEKAS,96,200,SHM,8,3,4,3,ADA,3500,TIDAK,PDAM,SEMI FURNISHED,4000000000
261,YOGYAKARTA,GODEAN,LANDED HOUSE,BARU,36,36,SHM,-,1,2,1,ADA,1300,TIDAK,SUMUR BOR,NON FURNISHED,275.000.000
262,YOGYAKARTA,GODEAN,LANDED HOUSE,BARU,45,45,SHM,-,1,2,1,ADA,1300,TIDAK,SUMUR BOR,NON FURNISHED,335.000.000
263,KLATEN,KLATEN SELATAN,LANDED HOUSE,BARU,90,45,SHM,-,1,2,1,ADA,1300,TIDAK,SUMUR BOR,NON FURNISHED,250.000.000
264,BEKASI,JATIASIH,LANDED HOUSE,BARU,60,60,SHM,-,1,2,1,ADA,1300,TIDAK,PDAM,NON FURNISHED,285.000.000
265,BEKASI,CIKARANG UTARA,LANDED HOUSE,BARU,60,60,SHM,-,2,3,2,ADA,2200,TIDAK,PDAM,NON FURNISHED,900.000.000
266,KOTA BANDUNG,ANTAPANI,LANDED HOUSE,BARU,90,107,SHM,-,2,3,2,ADA,1300,TIDAK,SUMUR BOR,NON FURNISHED,1.395.000.000
267,KOTA BANDUNG,CIBEUNYING KIDUL,LANDED HOUSE,BEKAS,271,200,SHM,4,2,5,5,ADA,6600,TIDAK,PDAM,SEMI FURNISHED,4.500.000.000
268,KOTA BANDUNG,SUKASARI,LANDED HOUSE,BEKAS,87,70,SHM,-,1,3,1,ADA,900,TIDAK,PAM,NON FURNISHED,875.000.000
269,KOTA BANDUNG,SUKAJADI,LANDED HOUSE,BEKAS,157,180,SHM,4,2,3,3,ADA,3300,TIDAK,SUMUR BOR,NON FURNISHED,3.200.000.000
270,KOTA BANDUNG,LENGKONG,LANDED HOUSE,BEKAS,427,255,SHM,-,1,3,2,ADA,2200,TIDAK,PAM,NON FURNISHED,6.000.000.000
271,KABUPATEN BOGOR,CIGUDEG,LANDED HOUSE,BARU,60,30,SHM,5,1,2,1,ADA,1300,TIDAK,TIDAK,NON FURNISHED,168000000
272,KABUPATEN BOGOR,CIOMAS,LANDED HOUSE,BARU,72,40,SHM,7,1,2,1,ADA,1300,TIDAK,SUMUR BOR,NON FURNISHED,420000000
273,KABUPATEN BOGOR,CIOMAS,LANDED HOUSE,BARU,90,72,SHM,7,2,2,2,ADA,1300,TIDAK,SUMUR BOR,SEMI FURNISHED,680000000
274,KABUPATEN BOGOR,DRAMAGA,LANDED HOUSE,BARU,60,36,SHM,5,1,2,1,ADA,1300,TIDAK,PDAM MANDIRI,NON FURNISHED,280000000
275,KABUPATEN BOGOR,DRAMAGA,LANDED HOUSE,BARU,72,36,SHM,5,1,2,1,ADA,1300,TIDAK,PDAM MANDIRI,NON FURNISHED,420000000
276,KABUPATEN BOGOR,DRAMAGA,LANDED HOUSE,BARU,120,60,SHM,5,2,-,2,TIDAK,1800,ADA,PDAM MANDIRI,NON FURNISHED,690000000
277,KABUPATEN BOGOR,KEMANG,LANDED HOUSE,BARU,72,36,SHM,5,1,2,1,ADA,1300,TIDAK,SUMUR BOR,NON FURNISHED,473000000
278,KABUPATEN BOGOR,KEMANG,LANDED HOUSE,BARU,72,40,SHM,5,1,2,1,ADA,1300,TIDAK,SUMUR BOR,SEMI FURNISHED,497000000
279,KABUPATEN BOGOR,DRAMAGA,LANDED HOUSE,BARU,60,36,SHM,7,1,2,1,ADA,1300,ADA,TIDAK,SEMI FURNISHED,460000000
280,KABUPATEN BOGOR,DRAMAGA,LANDED HOUSE,BARU,65,35,SHM,7,1,2,1,TIDAK,1300,TIDAK,SUMUR BOR,NON FURNISHED,180000000
281,KABUPATEN BOGOR,CIMANGGIS,LANDED HOUSE,BARU,80,45,SHM,7,1,2,1,TIDAK,1300,TIDAK,SUMUR BOR,NON FURNISHED,255000000
282,DEPOK,CIOMAS,LANDED HOUSE,BARU,78,40,SHM,5,1,2,1,ADA,1300,TIDAK,SUMUR BOR,NON FURNISHED,245000000
283,JONGGOL,JONGGOL,LANDED HOUSE,BARU,95,55,SHM,7,1,3,2,ADA,1300,TIDAK,SUMUR BOR,NON FURNISHED,320000000
284,SURABAYA,DARMO,LANDED HOUSE,BARU,180,120,SHM,7,2,3,2,ADA,2200,ADA,SUMUR BOR,FURNISHED,1800000000
285,JAKARTA SELATAN,KEBAYORAN LAMA,LANDED HOUSE,BARU,210,210,SHM,5,2,10,3,ADA,2200,ADA,SUMUR BOR,FURNISHED,2900000000
286,MEDAN,DELI SERDANG,LANDED HOUSE,BARU,60,36,SHM,5,1,2,1,ADA,1300,TIDAK,SUMUR BOR,SEMI FURNISHED,150000000
287,MALANG,SINGOSARI,LANDED HOUSE,BARU,100,80,SHM,7,2,4,2,ADA,1300,ADA,SUMUR BOR,FURNISHED,1200000000
288,TANGERANG,SERPONG,APARTEMENTT,BARU,45,45,SHM,-,1,1,1,ADA,2200,TIDAK,PDAM MANDIRI,SEMI FURNISHED,650000000
289,SUKABUMI,CIKOLE,LANDED HOUSE,BARU,135,90,SHM,5,2,5,2,TIDAK,2200,ADA,PDAM,FURNISHED,1350000000
290,SUKABUMI,CIBADAK,LANDED HOUSE,BARU,77,140,SHM,5,2,2,2,TIDAK,2200,TIDAK,PDAM,FURNISHED,700000000
291,SUKABUMI,PARUNGKUDA,LANDED HOUSE,BARU,60,30,SHM,-,1,2,2,ADA,1300,TIDAK,PDAM,NON FURNISHED,150000000
292,BANDUNG,BATUJAJAR,LANDED HOUSE,BARU,195,120,SHM,7,2,4,2,ADA,2200,ADA,PDAM,FURNISHED,1000000000
293,BANDUNG,BATUJAJAR,LANDED HOUSE,BARU,90,50,SHM,7,1,2,1,TIDAK,1300,ADA,PDAM,FURNISHED,800000000
294,BANDUNG,PADALARANG,LANDED HOUSE,BARU,60,33,SHGB,-,2,2,1,TIDAK,1300,TIDAK,SUMUR BOR,SEMI FURNISHED,350000000
295,BANDUNG,BUAHBATU,LANDED HOUSE,BARU,40,22,SHM,5,1,1,1,ADA,900,TIDAK,SUMUR BOR,NON FURNISHED,175000000
296,BANDUNG,BUAHBATU,LANDED HOUSE,BARU,40,30,SHM,5,1,2,1,ADA,1300,TIDAK,PDAM,NON FURNISHED,222000000
297,BANDUNG,BUAHBATU,LANDED HOUSE,BARU,84,60,SHM,5,1,3,2,ADA,1300,TIDAK,PDAM,NON FURNISHED,333000000
298,BANDUNG,RANCAEKEK,LANDED HOUSE,BARU,70,45,SHM,5,1,2,2,ADA,1300,TIDAK,SUMUR BOR,SEMI FURNISHED,470000000
299,BANDUNG,PARONGPONG,LANDED HOUSE,BARU,72,50,SHM,7,2,2,2,ADA,1300,ADA,PDAM,FURNISHED,657000000
300,JAKARTA UTARA,KELAPA GADING,LANDED HOUSE,BARU,72,50,SHM,5,3,10,3,ADA,1300,TIDAK,SUMUR BOR,NON FURNISHED,800000000
301,JAKARTA TIMUR,CIPAYUNG,LANDED HOUSE,BARU,50,40,SHM,4,1,2,1,ADA,1300,TIDAK,PDAM,NON FURNISHED,350000000
302,JAKARTA PUSAT,SENEN,LANDED HOUSE,BARU,79,45,SHM,5,1,2,1,ADA,1300,TIDAK,PDAM,SEMI FURNISHED,600000000
303,BANDUNG,ANTAPANI,LANDED HOUSE,BARU,84,62,SHM,4,1,2,1,ADA,1300,TIDAK,PDAM,SEMI FURNISHED,325000000
304,JAKARTA SELATAN,CILANDAK,LANDED HOUSE,BEKAS,321,260,SHM,3,2,4,3,ADA,5500,TIDAK,PDAM,SEMI FURNISHED,9250000000
305,BEKASI,JATIASIH,LANDED HOUSE,BARU,70,90,SHM,6,2,3,2,ADA,2200,TIDAK,PDAM,SEMI FURNISHED,845000000
306,BANDUNG,ANDIR,LANDED HOUSE,BEKAS,650,200,SHM,4,1,7,3,ADA,1300,TIDAK,SUMUR BOR,SEMI FURNISHED,4100000000
307,BANDUNG,COBLONG,LANDED HOUSE,BEKAS,176,138,SHGB,5,2,4,4,ADA,2200,TIDAK,PDAM,SEMI FURNISHED,2300000000
308,BANDUNG,SUKASARI,LANDED HOUSE,BEKAS,105,90,SHM,6,1.5,2,2,ADA,1300,ADA,PAM,SEMI FURNISHED,1500000000
309,BANDUNG,SUKASARI,LANDED HOUSE,BEKAS,300,250,SHM,5,2,4,3,ADA,1300,TIDAK,PDAM,NON FURNISHED,4000000000
310,TANGERANG,PAMULANG,LANDED HOUSE,BARU,300,240,SHM,5,2,3,4,ADA,3500,ADA,PAM,NON FURNISHED,3000000000
311,BANDUNG ,CIBEUNYING KIDUL,LANDED HOUSE,BEKAS,1100,120,SHM,5,3,4,5,ADA,2200,TIDAK,PDAM,SEMI FURNISHED,1700000000
312,BANDUNG,ARCAMANIK,LANDED HOUSE,BEKAS,500,260,SHM,12,2,4,3,ADA,2200,TIDAK,PDAM,NON FURNISHED,2600000000
313,DEPOK,SAWANGAN,LANDED HOUSE,BARU,142,170,SHM,6,2,4,3,ADA,5500,ADA,PDAM,FULL FURNISHED,2200000000
314,BOGOR,TANAH SAREAL,LANDED HOUSE,BEKAS,193,170,SHM,5,1,3,2,ADA,2200,TIDAK,PDAM,NON FURNISHED,2140000000
315,BOGOR,TANAH SAREAL,LANDED HOUSE,BEKAS,78,105,SHM,5,2,3,2,ADA,1300,TIDAK,PDAM,NON FURNISHED,850000000
316,BOGOR,SUKARAJA,LANDED HOUSE,BEKAS,87,80,SHM,6,1,2,2,ADA,1300,TIDAK,SUMUR BOR,NON FURNISHED,550000000
317,BOGOR,BOGOR UTARA,LANDED HOUSE,BEKAS,78,54,SHM,5,1,2,1,ADA,1300,TIDAK,PDAM,NON FURNISHED,820000000
318,BOGOR,TANAH SAREAL,LANDED HOUSE,BEKAS,73,88,SHM,5,2,4,2,ADA,1300,ADA,SUMUR BOR,NON FURNISHED,990000000
